Model,Test Accuracy,Test F1 Micro,Test F1 Macro,Test Hamming Loss,Nested CV F1 (Mean),Nested CV F1 (Std),Best Params
Random Forest,0.3665943600867679,0.8782766675317935,0.7229917897462966,0.11303928657507833,0.8723561917191373,0.014151385523257246,"{'max_depth': None, 'n_estimators': 100}"
Logistic Regression,0.5184381778741866,0.9278762166209134,0.8395929825622512,0.06965533863581586,0.9238324205778031,0.006861039536334248,{'estimator__C': 10.0}
Linear SVC,0.561822125813449,0.9360753221010902,0.8488757393935221,0.06218365871294288,0.9295983454542084,0.004764038603228091,{'estimator__C': 10.0}
MLP Classifier,0.4837310195227766,0.9184216896635198,0.7822228979447774,0.08122439141961918,0.8695556548214904,0.020096681349118642,"{'alpha': 0.0001, 'hidden_layer_sizes': (50, 50)}"
XGBoost,0.5466377440347071,0.9303938568243746,0.8254564001193924,0.06772716317184864,0.9286619434960168,0.00814746678160857,"{'estimator__learning_rate': 0.1, 'estimator__max_depth': 7, 'estimator__n_estimators': 100}"
LightGBM,0.4490238611713666,0.8974739970282318,0.7744968090739541,0.09978308026030369,0.8822873863156389,0.009575586476007519,"{'estimator__learning_rate': 0.2, 'estimator__max_depth': 5, 'estimator__n_estimators': 100}"
CatBoost,0.5770065075921909,0.9395906140788817,0.8729534312590688,0.058327307785008435,0.9386653671465482,0.007880674860236431,"{'estimator__depth': 8, 'estimator__iterations': 200, 'estimator__learning_rate': 0.2}"
