Model,Nested CV F1 Micro,Nested CV F1 Std,Test Accuracy,Test F1 Micro,Test F1 Macro,Test F1 Weighted,Test Precision,Test Recall,Test Hamming Loss,Test Jaccard Score,Test Loss,Exact Match Ratio,Best Params
Random Forest,0.8468914922214683,0.004856064566172553,0.34615384615384615,0.8623298033282905,0.7138195619305072,0.8628576715304755,0.9064885496183206,0.8222735141373341,0.12962962962962962,0.7579787234042553,,0.34615384615384615,"{'max_depth': None, 'n_estimators': 200}"
Logistic Regression,0.8482040041838775,0.017255109454107742,0.36153846153846153,0.8567128236002408,0.7091071040329981,0.8731034398205599,0.8955317809943361,0.8211194460473168,0.1356125356125356,0.7493417588204319,0.3204723143381498,0.36153846153846153,{'estimator__C': 10.0}
Linear SVC,0.8468462143312442,0.019118781296799947,0.36666666666666664,0.8553383458646616,0.7085150152034948,0.8721337353632411,0.8932160804020101,0.8205424120023082,0.13703703703703704,0.7472411981082502,,0.36666666666666664,{'estimator__C': 1.0}
MLP Classifier,0.82652091673375,0.023255314952186256,0.441025641025641,0.8899666565625948,0.6852198247739406,0.8788110299901257,0.9374201787994891,0.8470859780727062,0.10341880341880341,0.8017476788640088,0.2526716648302736,0.441025641025641,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,)}"
XGBoost,0.8746554578662192,0.010091954053335812,0.4512820512820513,0.8878562577447335,0.7212303870614543,0.8805826334068072,0.9585284280936455,0.8268897864974033,0.10313390313390314,0.7983286908077994,0.23591743513185293,0.4512820512820513,"{'estimator__learning_rate': 0.1, 'estimator__max_depth': 5, 'estimator__n_estimators': 100}"
LightGBM,0.8250190940016203,0.004143113114329165,0.3128205128205128,0.8295896975142258,0.7039880708661255,0.8561357295845093,0.8623910336239103,0.7991921523369879,0.1621082621082621,0.7088024564994883,0.33149227897774064,0.3128205128205128,"{'estimator__learning_rate': 0.1, 'estimator__max_depth': 5, 'estimator__n_estimators': 100}"
CatBoost,0.8530945501353738,0.01853786030595159,0.34102564102564104,0.8476702508960573,0.7219031294872141,0.8721491127090734,0.8786377708978328,0.8188113098672821,0.1452991452991453,0.7356143079315708,0.3043741077040802,0.34102564102564104,"{'estimator__depth': 6, 'estimator__iterations': 200, 'estimator__learning_rate': 0.1}"
