iter	Logloss
0	0.6565473679
1	0.606369203
2	0.564756826
3	0.5407787422
4	0.51946562
5	0.5038758132
6	0.4865746065
7	0.4707926625
8	0.4521582938
9	0.4390712917
10	0.4284962726
11	0.4209976391
12	0.4098004604
13	0.3973447911
14	0.388346954
15	0.3806387768
16	0.3742773831
17	0.3680076258
18	0.3595874217
19	0.3512367667
20	0.3431998535
21	0.3354698314
22	0.3302220221
23	0.3275512214
24	0.3252461086
25	0.3182927317
26	0.3134714868
27	0.3112778148
28	0.3097273359
29	0.3071967812
30	0.3050687389
31	0.301305342
32	0.2979906003
33	0.2943832579
34	0.292926061
35	0.2893955143
36	0.2886687706
37	0.2860131072
38	0.2842294615
39	0.279449085
40	0.2771268772
41	0.2758738729
42	0.2726326444
43	0.2716365703
44	0.2691176437
45	0.265952864
46	0.263385124
47	0.2606613002
48	0.2598039504
49	0.2589581545
50	0.2579189009
51	0.2554746301
52	0.2544308973
53	0.2509477927
54	0.250116376
55	0.2469790213
56	0.2460291855
57	0.2451951524
58	0.243718028
59	0.2419901584
60	0.241131075
61	0.2400776032
62	0.2390789855
63	0.2354334048
64	0.2336754193
65	0.2284817803
66	0.2273518519
67	0.2249848765
68	0.2227467715
69	0.2214518159
70	0.2195804623
71	0.2166236598
72	0.2157225402
73	0.2120707441
74	0.2076484848
75	0.2065544837
76	0.2053338822
77	0.2004644014
78	0.1996246501
79	0.1962167477
80	0.194713015
81	0.1935577638
82	0.1928162265
83	0.1908095141
84	0.1898897229
85	0.1891396928
86	0.1868759565
87	0.1861906412
88	0.1856401843
89	0.1829146982
90	0.1817032411
91	0.1805406146
92	0.1770409385
93	0.1764601297
94	0.1739345446
95	0.1727719695
96	0.1722329563
97	0.1697312073
98	0.1688121632
99	0.1663645301
100	0.165840867
101	0.1613845403
102	0.1586970851
103	0.1579001454
104	0.1566260867
105	0.1561393074
106	0.1527608592
107	0.1510587963
108	0.1505610897
109	0.1501079201
110	0.1495561617
111	0.1487034174
112	0.1482803063
113	0.1460574416
114	0.14526841
115	0.1442555649
116	0.1430653037
117	0.1427194438
118	0.1397814561
119	0.1394349754
120	0.1387742506
121	0.1384060751
122	0.138015416
123	0.1348367033
124	0.1343162379
125	0.1327371476
126	0.1322922025
127	0.1292129772
128	0.1284144015
129	0.1255518813
130	0.1251996379
131	0.1249039606
132	0.1242911599
133	0.1239540831
134	0.123007994
135	0.1226915422
136	0.1215484615
137	0.1208893311
138	0.1205692053
139	0.120284283
140	0.1186750038
141	0.1180851036
142	0.1165438792
143	0.1162701037
144	0.1147108922
145	0.1121991903
146	0.1116245276
147	0.1113192574
148	0.1094930426
149	0.1092161844
150	0.1084290181
151	0.1081733535
152	0.107702518
153	0.1067839261
154	0.1065303924
155	0.1050971422
156	0.1047634861
157	0.104134387
158	0.1038402095
159	0.1036055238
160	0.1023163869
161	0.1020897334
162	0.1018510924
163	0.1012565105
164	0.1010420231
165	0.1008337099
166	0.1004398715
167	0.09840020417
168	0.0980840311
169	0.09766965417
170	0.09746304892
171	0.09660795414
172	0.0963925767
173	0.09410459326
174	0.09391280319
175	0.09362603423
176	0.09269525424
177	0.09230107248
178	0.09085319843
179	0.0906202775
180	0.09042681402
181	0.08964492409
182	0.08947844932
183	0.08925644699
184	0.08847522225
185	0.08686339438
186	0.08654893681
187	0.08637116249
188	0.08559796268
189	0.08542665612
190	0.08497885696
191	0.08477857006
192	0.08461893479
193	0.08314907199
194	0.08298798742
195	0.08194498259
196	0.08169699416
197	0.08141431101
198	0.08082152373
199	0.08066625974
