Model,Nested CV F1 Micro,Nested CV F1 Std,Test Accuracy,Test F1 Micro,Test F1 Macro,Test F1 Weighted,Test Precision,Test Recall,Test Hamming Loss,Test Jaccard Score,Test Loss,Exact Match Ratio,Best Params
Random Forest,0.8722463626731266,0.00684877956977475,0.38974358974358975,0.8804755944931164,0.7966240664344162,0.876341473738485,0.9617224880382775,0.8118869013271783,0.10883190883190884,0.786472889882616,,0.38974358974358975,"{'max_depth': None, 'n_estimators': 100}"
Logistic Regression,0.9230470618942249,0.004887055045919058,0.5820512820512821,0.9337748344370861,0.8744119724503713,0.933043454393638,0.9760855884203902,0.8949798038084247,0.06267806267806268,0.8757763975155279,0.16686143421728356,0.5820512820512821,{'estimator__C': 10.0}
Linear SVC,0.9289851131785012,0.005290671520963078,0.6076923076923076,0.9406830437387658,0.8807121829060653,0.9398036189464911,0.9781931464174455,0.9059434506635892,0.05641025641025641,0.8880090497737556,,0.6076923076923076,{'estimator__C': 10.0}
MLP Classifier,0.891418478022859,0.00956004605216474,0.4666666666666667,0.9124530482519503,0.8128327645477441,0.9087736537038671,0.9137731481481481,0.911136757068667,0.08632478632478632,0.8390010626992561,0.2288011115299634,0.4666666666666667,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50)}"
XGBoost,0.9255079106935336,0.00920799869822576,0.6128205128205129,0.941034897713598,0.8658521605220308,0.9398038422563353,0.983029541169076,0.9024812463935372,0.05584045584045584,0.8886363636363637,0.15944753220998162,0.6128205128205129,"{'estimator__learning_rate': 0.1, 'estimator__max_depth': 5, 'estimator__n_estimators': 100}"
LightGBM,0.8860160968170185,0.00543412150021074,0.47692307692307695,0.9011188388267312,0.7930373927691677,0.9072204474936445,0.9466327827191868,0.8597807270628968,0.09316239316239316,0.8200330214639515,0.23547048315103666,0.47692307692307695,"{'estimator__learning_rate': 0.1, 'estimator__max_depth': 7, 'estimator__n_estimators': 100}"
CatBoost,0.9311332324256195,0.00497857733362329,0.6,0.9372513008876645,0.911873505077818,0.936747476418454,0.9980443285528031,0.8834391229082516,0.0584045584045584,0.8819124423963134,0.1548312631975498,0.6,"{'estimator__depth': 6, 'estimator__iterations': 200, 'estimator__learning_rate': 0.1}"
