dependency,label,project_language,count
bumpver,Software,Python,5
cmake,Software,Python,5
codetools,Software,R,5
colorlog,Software,Python,5
configparser,Software,Python,5
dnspython,Software,Python,5
eval-type-backport,Software,Python,5
fasteners,Software,Python,5
gert,Software,R,5
gtest_main,Software,C++,5
hatch,Software,Python,5
httptest,Software,R,5
importlib_metadata,Software,Python,5
ipdb,Software,Python,5
iso8601,Software,Python,5
lazyeval,Software,R,5
lazy-object-proxy,Software,Python,5
libclang,Software,Python,5
multipledispatch,Software,Python,5
nh3,Software,Python,5
nlohmann_json,Software,C++,5
pathlib,Software,Python,5
pdbpp,Software,Python,5
pefile,Software,Python,5
pkginfo,Software,Python,5
pkgutil-resolve-name,Software,Python,5
pyinstaller-hooks-contrib,Software,Python,5
pytest-lazy-fixture,Software,Python,5
pytest-rerunfailures,Software,Python,5
python-multipart,Software,Python,5
RCurl,Software,R,5
reacton,Software,Python,5
rjson,Software,R,5
scooby,Software,Python,5
texttable,Software,Python,5
typing-inspect,Software,Python,5
Werkzeug,Software,Python,5
whisker,Software,R,5
win32-setctime,Software,Python,5
yapf,Software,Python,5
autodoc-pydantic,RIS,Python,5
autodocsumm,RIS,Python,5
BiocManager,RIS,R,5
foreign,RIS,R,5
fst,RIS,R,5
gargle,RIS,R,5
googledrive,RIS,R,5
jupyterlite-sphinx,RIS,Python,5
maggma,RIS,Python,5
Markdown,RIS,Python,5
openxlsx,RIS,R,5
optype,RIS,Python,5
pdftools,RIS,R,5
pingr,RIS,R,5
smart-open,RIS,Python,5
sphinx_automodapi,RIS,Python,5
sphinx-astropy,RIS,Python,5
sphinx-favicon,RIS,Python,5
sphinx-panels,RIS,Python,5
sphinx-prompt,RIS,Python,5
tm,RIS,R,5
hydra-core,Process,Python,5
pip-tools,Process,Python,5
poethepoet,Process,Python,5
pytest-mpi,Process,Python,5
towncrier,Process,Python,5
cupy,Modeling and simulation,Python,5
FFTW,Modeling and simulation,C++,5
fields,Modeling and simulation,R,5
forecast,Modeling and simulation,R,5
gymnasium,Modeling and simulation,Python,5
highspy,Modeling and simulation,Python,5
ITK,Modeling and simulation,C++,5
jaxopt,Modeling and simulation,Python,5
nautilus-sampler,Modeling and simulation,Python,5
open3d,Modeling and simulation,Python,5
phangorn,Modeling and simulation,R,5
Pint,Modeling and simulation,Python,5
pyfftw,Modeling and simulation,Python,5
pyro-ppl,Modeling and simulation,Python,5
sentence-transformers,Modeling and simulation,Python,5
StanHeaders,Modeling and simulation,R,5
countrycode,Integrative analysis,R,5
CUDA,Hardware,C++,5
Kokkos,Hardware,C++,5
stdc++,Hardware,C,5
betareg,Data analytics,R,5
bqplot,Data analytics,Python,5
branca,Data analytics,Python,5
ComplexHeatmap,Data analytics,R,5
DiagrammeR,Data analytics,R,5
EnvStats,Data analytics,R,5
gdal,Data analytics,Python,5
getdist,Data analytics,Python,5
ggtext,Data analytics,R,5
h3,Data analytics,Python,5
iminUIt,Data analytics,Python,5
ipyleaflet,Data analytics,Python,5
kernlab,Data analytics,R,5
KernSmooth,Data analytics,R,5
librosa,Data analytics,Python,5
lunarsky,Data analytics,Python,5
mdanalysis,Data analytics,Python,5
metafor,Data analytics,R,5
munsell,Data analytics,R,5
onnxruntime,Data analytics,Python,5
parsnip,Data analytics,R,5
phyloseq,Data analytics,R,5
poorman,Data analytics,R,5
pydub,Data analytics,Python,5
rdkit,Data analytics,Python,5
robustbase,Data analytics,R,5
sentencepiece,Data analytics,Python,5
signal,Data analytics,R,5
sklearn,Data analytics,Python,5
soundfile,Data analytics,Python,5
spatstat.geom,Data analytics,R,5
sphinxcontrib-spelling,Data analytics,Python,5
stringdist,Data analytics,R,5
SummarizedExperiment,Data analytics,R,5
survey,Data analytics,R,5
tensorflow_probability,Data analytics,Python,5
tensorflow-io-gcs-filesystem,Data analytics,Python,5
timezonefinder,Data analytics,Python,5
umap-learn,Data analytics,Python,5
common,,C++,5
dash-bootstrap-components,UI,Python,4
dash-daq,UI,Python,4
ipyevents,UI,Python,4
jupyter-contrib-nbextensions,UI,Python,4
pyqt5-sip,UI,Python,4
PySide6,UI,Python,4
screeninfo,UI,Python,4
shinybusy,UI,R,4
trame,UI,Python,4
trame-vuetify,UI,Python,4
pyinstrument,Software analytics,Python,4
pytest-codspeed,Software analytics,Python,4
vulture,Software analytics,Python,4
aioitertools,Software,Python,4
aniso8601,Software,Python,4
antlr4-python3-runtime,Software,Python,4
asciitree,Software,Python,4
asdf,Software,Python,4
asgiref,Software,Python,4
asteval,Software,Python,4
autoflake,Software,Python,4
Babel,Software,Python,4
bcrypt,Software,Python,4
bench,Software,R,4
bracex,Software,Python,4
cachecontrol,Software,Python,4
cached-property,Software,Python,4
check-manifest,Software,Python,4
configobj,Software,Python,4
dataclasses-json,Software,Python,4
dateparser,Software,Python,4
docformatter,Software,Python,4
flake8-bUIltins-unleashed,Software,Python,4
frozendict,Software,Python,4
future.callr,Software,R,4
googleapis-common-protos,Software,Python,4
google-auth-oauthlib,Software,Python,4
hatchling,Software,Python,4
html5lib,Software,Python,4
httptest2,Software,R,4
httpx-sse,Software,Python,4
importlib_resources,Software,Python,4
iterators,Software,R,4
jiter,Software,Python,4
jsonpatch,Software,Python,4
later,Software,R,4
logger,Software,R,4
loky,Software,Python,4
looseversion,Software,Python,4
lz4,Software,Python,4
mongomock,Software,Python,4
nanobind,Software,C++,4
parallelly,Software,R,4
pdoc3,Software,Python,4
pep8,Software,Python,4
pockets,Software,Python,4
pygame,Software,Python,4
pygit2,Software,Python,4
pytest-cases,Software,Python,4
pytest-sugar,Software,Python,4
python-box,Software,Python,4
python-gitlab,Software,Python,4
pytokens,Software,Python,4
ratelimit,Software,Python,4
rematch,Software,R,4
reportlab,Software,Python,4
reprex,Software,R,4
responses,Software,Python,4
schema,Software,Python,4
sentry-sdk,Software,Python,4
shiboken6,Software,Python,4
sourcetools,Software,R,4
structlog,Software,Python,4
styler,Software,R,4
testpath,Software,Python,4
timechange,Software,R,4
trove-classifiers,Software,Python,4
typed-ast,Software,Python,4
typeguard,Software,Python,4
types-pyyaml,Software,Python,4
types-tqdm,Software,Python,4
uv,Software,Python,4
yaml-cpp,Software,C++,4
astropy-iers-data,RIS,Python,4
autodoc,RIS,Python,4
autodoc_pydantic,RIS,Python,4
blob,RIS,R,4
cdsapi,RIS,Python,4
codecarbon,RIS,Python,4
flextable,RIS,R,4
golem,RIS,R,4
jupyter_sphinx,RIS,Python,4
jupyter-server-proxy,RIS,Python,4
mkdocs-redirects,RIS,Python,4
numcodecs,RIS,Python,4
owslib,RIS,Python,4
prettydoc,RIS,R,4
psycopg2,RIS,Python,4
py7zr,RIS,Python,4
pyevtk,RIS,Python,4
pystac,RIS,Python,4
pystac-client,RIS,Python,4
qpdf,RIS,R,4
quarto,RIS,R,4
rstcheck,RIS,Python,4
sjlabelled,RIS,R,4
sounddevice,RIS,Python,4
sphinx_inline_tabs,RIS,Python,4
sphinxcontrib-mermaid,RIS,Python,4
sphinx-mdinclude,RIS,Python,4
sshtunnel,RIS,Python,4
tiff,RIS,R,4
tzdb,RIS,R,4
webshot,RIS,R,4
writexl,RIS,R,4
sphinxcontrib-video,RIS,Python,4
bumpversion,Process,Python,4
interrogate,Process,Python,4
RcppProgress,Process,R,4
CoolProp,Modeling and simulation,Python,4
data.tree,Modeling and simulation,R,4
deSolve,Modeling and simulation,R,4
ephem,Modeling and simulation,Python,4
gmpy2,Modeling and simulation,Python,4
gmsh,Modeling and simulation,Python,4
interpolation,Modeling and simulation,Python,4
jplephem,Modeling and simulation,Python,4
mdtraj,Modeling and simulation,Python,4
mip,Modeling and simulation,C++,4
ndlib,Modeling and simulation,Python,4
osqp,Modeling and simulation,Python,4
pulp,Modeling and simulation,Python,4
pymoo,Modeling and simulation,Python,4
pypardiso,Modeling and simulation,Python,4
quadprog,Modeling and simulation,Python,4
rjags,Modeling and simulation,R,4
s2,Modeling and simulation,R,4
scikit-umfpack,Modeling and simulation,Python,4
scs,Modeling and simulation,Python,4
triangle,Modeling and simulation,Python,4
ultranest,Modeling and simulation,Python,4
whitebox,Modeling and simulation,Python,4
zeus-mcmc,Modeling and simulation,Python,4
Formula,Integrative analysis,R,4
langchain,Integrative analysis,Python,4
metaBMA,Integrative analysis,R,4
modelr,Integrative analysis,R,4
reactable,Integrative analysis,R,4
blas,Hardware,C++,4
CUDAToolkit,Hardware,C++,4
nvidia-cufile-cu12,Hardware,Python,4
nvidia-cusparselt-cu12,Hardware,Python,4
actuar,Data analytics,R,4
aod,Data analytics,R,4
astropy-healpix,Data analytics,Python,4
BiocGenerics,Data analytics,R,4
BiocParallel,Data analytics,R,4
blackjax,Data analytics,Python,4
brglm2,Data analytics,R,4
carData,Data analytics,R,4
Cartopy,Data analytics,Python,4
chainconsumer,Data analytics,Python,4
chex,Data analytics,Python,4
class,Data analytics,R,4
classInt,Data analytics,R,4
cmocean,Data analytics,Python,4
colour,Data analytics,Python,4
corrplot,Data analytics,R,4
descartes,Data analytics,Python,4
dtplyr,Data analytics,R,4
etils,Data analytics,Python,4
factoextra,Data analytics,R,4
fastcluster,Data analytics,Python,4
ffmpeg-python,Data analytics,Python,4
fontqUIver,Data analytics,R,4
formulaic,Data analytics,Python,4
GDAL,Data analytics,Python,4
gee,Data analytics,R,4
geepack,Data analytics,R,4
gensim,Data analytics,Python,4
ggforce,Data analytics,R,4
ggiraph,Data analytics,R,4
ggthemes,Data analytics,R,4
ipyvolume,Data analytics,Python,4
jupyter-leaflet,Data analytics,Python,4
laspy,Data analytics,Python,4
libpysal,Data analytics,Python,4
logspline,Data analytics,R,4
loo,Data analytics,R,4
matplotlib-scalebar,Data analytics,Python,4
mclogit,Data analytics,R,4
moviepy,Data analytics,Python,4
nestle,Data analytics,Python,4
pastel,Data analytics,Python,4
pbkrtest,Data analytics,R,4
pingoUIn,Data analytics,Python,4
plotnine,Data analytics,Python,4
PNG,Data analytics,C++,4
pscl,Data analytics,R,4
pyopengl,Data analytics,Python,4
PyOpenGL,Data analytics,Python,4
python-ternary,Data analytics,Python,4
pyuvdata,Data analytics,Python,4
pyvo,Data analytics,Python,4
qgraph,Data analytics,R,4
quanteda,Data analytics,R,4
quantreg,Data analytics,R,4
rapidfuzz,Data analytics,Python,4
rasterstats,Data analytics,Python,4
reshape,Data analytics,R,4
SimpleITK,Data analytics,Python,4
statmod,Data analytics,R,4
tensorboard-plugin-wit,Data analytics,Python,4
tidytext,Data analytics,R,4
tiktoken,Data analytics,Python,4
tmap,Data analytics,R,4
torchmetrics,Data analytics,Python,4
trame-vtk,Data analytics,Python,4
tweedie,Data analytics,R,4
unidecode,Data analytics,Python,4
WRS2,Data analytics,R,4
xarray-einstats,Data analytics,Python,4
",",,Python,4
dev,,Python,4
ellipsis,,R,4
example,,C++,4
exclude,,Python,4
Exec,,C++,4
geometry,,R,4
proxy,,R,4
PythonLibs,,C++,4
Tests,,C++,4
tutorials,,C++,4
z,,C,4
jupyterthemes,UI ,Python,3
click-didyoumean,UI,Python,3
click-repl,UI,Python,3
crosstalk,UI,R,3
fire,UI,Python,3
gUI,UI,C++,3
ipyfilechooser,UI,Python,3
ipyparallel,UI,Python,3
ipytree,UI,Python,3
plac,UI,Python,3
pyglet,UI,Python,3
pyqt6,UI,Python,3
PySide2,UI,Python,3
pyside6-addons,UI,Python,3
pyside6-essentials,UI,Python,3
Qt5,UI,C++,3
QtPy,UI,Python,3
reactR,UI,R,3
rhandsontable,UI,R,3
selenium,UI,Python,3
traits,UI,Python,3
snakeviz,Software analytics,Python,3
coverage-badge,Software analytics,Python,3
DALEX,Software analytics,R,3
flake8-bandit,Software analytics,Python,3
gprof2dot,Software analytics,Python,3
langsmith,Software analytics,Python,3
line-profiler,Software analytics,Python,3
pympler,Software analytics,Python,3
pytest-coverage,Software analytics,Python,3
python-coveralls,Software analytics,Python,3
rcmdcheck,Software analytics,R,3
ujson,Software analytics,Python,3
unittest2,Software analytics,Python,3
httptools,Software,Python,3
.[docs],Software,Python,3
aiosqlite,Software,Python,3
amqp,Software,Python,3
array-api-strict,Software,Python,3
backoff,Software,Python,3
base64url,Software,R,3
bidict,Software,Python,3
billiard,Software,Python,3
bitarray,Software,Python,3
boltons,Software,Python,3
brotli,Software,Python,3
cachelib,Software,Python,3
cairocffi,Software,Python,3
catalogue,Software,Python,3
color-operations,Software,Python,3
conflicted,Software,R,3
cssselect2,Software,Python,3
cytoolz,Software,Python,3
decli,Software,Python,3
Deprecated,Software,Python,3
Django,Software,Python,3
django,Software,Python,3
django-extensions,Software,Python,3
dm-tree,Software,Python,3
downlit,Software,R,3
eigen3,Software,C++,3
email-validator,Software,Python,3
enum-tools,Software,Python,3
eventlet,Software,Python,3
flake8-black,Software,Python,3
flake8-use-fstring,Software,Python,3
flask-caching,Software,Python,3
flask-restx,Software,Python,3
formatR,Software,R,3
freezegun,Software,Python,3
geojsonsf,Software,R,3
google-crc32c,Software,Python,3
google-resumable-media,Software,Python,3
grpcio-status,Software,Python,3
hf-xet,Software,Python,3
holidays,Software,Python,3
humanfriendly,Software,Python,3
hyperlink,Software,Python,3
id,Software,Python,3
ids,Software,R,3
ini,Software,R,3
jsonvalidate,Software,R,3
julia,Software,Python,3
kombu,Software,Python,3
livereload,Software,Python,3
lxml_html_clean,Software,Python,3
macholib,Software,Python,3
matlab,Software,C++,3
methodtools,Software,Python,3
msgspec,Software,Python,3
multimethod,Software,Python,3
namex,Software,Python,3
nptyping,Software,Python,3
num2words,Software,Python,3
odfpy,Software,Python,3
omegaconf,Software,Python,3
OpenSSL,Software,C++,3
optree,Software,Python,3
parameterized,Software,Python,3
pendulum,Software,Python,3
pep517,Software,Python,3
pox,Software,Python,3
ppft,Software,Python,3
proto-plus,Software,Python,3
pyct,Software,Python,3
pydash,Software,Python,3
pydoclint,Software,Python,3
pyjwt,Software,Python,3
pynacl,Software,Python,3
pyprojroot,Software,Python,3
pysocks,Software,Python,3
pytest-order,Software,Python,3
pytest-regressions,Software,Python,3
pytest-subtests,Software,Python,3
pytest-xvfb,Software,Python,3
python-slugify,Software,Python,3
python-utils,Software,Python,3
requests-cache,Software,Python,3
S7,Software,R,3
selectr,Software,R,3
Send2Trash,Software,Python,3
sentinels,Software,Python,3
server-thread,Software,Python,3
sfheaders,Software,R,3
sh,Software,Python,3
sqlparse,Software,Python,3
stdlib-list,Software,Python,3
SWIG,Software,C++,3
text-unidecode,Software,Python,3
types-PyYAML,Software,Python,3
unit,Software,C++,3
userpath,Software,Python,3
uvloop,Software,Python,3
vine,Software,Python,3
waitress,Software,Python,3
wasabi,Software,Python,3
wcmatch,Software,Python,3
wincertstore,Software,Python,3
xmlschema,Software,Python,3
zope-interface,Software,Python,3
aiobotocore,RIS,Python,3
autoapi,RIS,Python,3
better_apidoc,RIS,Python,3
bids-validator,RIS,Python,3
breathe,RIS,Python,3
dask-jobqueue,RIS,Python,3
databroker,RIS,Python,3
edfio,RIS,Python,3
elasticsearch,RIS,Python,3
elasticsearch-dsl,RIS,Python,3
Fiona,RIS,Python,3
gdtools,RIS,R,3
google-cloud-bigquery,RIS,Python,3
google-cloud-core,RIS,Python,3
googlesheets4,RIS,R,3
hatch-jupyter-bUIlder,RIS,Python,3
jsonlines,RIS,Python,3
LATEX,RIS,C++,3
latex2exp,RIS,R,3
localtileserver,RIS,Python,3
m2r,RIS,Python,3
mkdocs-bibtex,RIS,Python,3
mkdocs-git-authors-plugin,RIS,Python,3
mkdocs-macros-plugin,RIS,Python,3
mkdocstrings-python-legacy,RIS,Python,3
nidaqmx,RIS,Python,3
openxlsx2,RIS,R,3
pander,RIS,R,3
psycopg,RIS,Python,3
pylsl,RIS,Python,3
pymatreader,RIS,Python,3
pytest-testmon,RIS,Python,3
pytkdocs,RIS,Python,3
rgdal,RIS,R,3
rgeos,RIS,R,3
roxyglobals,RIS,R,3
rpy2,RIS,Python,3
Rsamtools,RIS,R,3
screed,RIS,Python,3
session-info,RIS,Python,3
sphinx_bootstrap_theme,RIS,Python,3
sphinx_issues,RIS,Python,3
sphinx_toggleprompt,RIS,Python,3
sphinx_toolbox,RIS,Python,3
sphinxemoji,RIS,Python,3
sphinxext-rediraffe,RIS,Python,3
sphinx-intl,RIS,Python,3
sphinx-markdown-tables,RIS,Python,3
sphinx-rtd-dark-mode,RIS,Python,3
sphinx-toolbox,RIS,Python,3
typing,RIS,Python,3
voila,RIS,Python,3
watermark,RIS,Python,3
whiteboxgUI,RIS,Python,3
sphinx-inline-tabs,RIS,Python,3
ament_cmake,Process,C++,3
bibtexparser,Process,Python,3
blacken-docs,Process,Python,3
celery,Process,Python,3
credentials,Process,R,3
gitcreds,Process,R,3
invoke,Process,Python,3
poetry,Process,Python,3
reqUIres-poetry,Process,Python,3
vcrpy,Process,Python,3
${AMREX_SUBMOD_LOCATION},Modeling and simulation,C++,3
AMReX,Modeling and simulation,C++,3
bilby,Modeling and simulation,Python,3
BLAS,Modeling and simulation,C++,3
casadi,Modeling and simulation,Python,3
Ceres,Modeling and simulation,C++,3
CGAL,Modeling and simulation,C++,3
cma,Modeling and simulation,Python,3
cubature,Modeling and simulation,R,3
deap,Modeling and simulation,Python,3
derivative,Modeling and simulation,Python,3
doRNG,Modeling and simulation,R,3
fftw3,Modeling and simulation,C++,3
gala,Modeling and simulation,Python,3
GLPK,Modeling and simulation,C++,3
HYPRE,Modeling and simulation,C++,3
itk,Modeling and simulation,C++,3
jax[cpu],Modeling and simulation,Python,3
jupyter_core,Modeling and simulation,Python,3
Matlab,Modeling and simulation,C++,3
MCMCglmm,Modeling and simulation,R,3
mesa,Modeling and simulation,Python,3
MKL,Modeling and simulation,C++,3
mkl,Modeling and simulation,Python,3
nloptr,Modeling and simulation,R,3
numpy-stl,Modeling and simulation,Python,3
ortools,Modeling and simulation,Python,3
PETSc,Modeling and simulation,C++,3
petsc4py,Modeling and simulation,Python,3
pyamg,Modeling and simulation,Python,3
pyDOE,Modeling and simulation,Python,3
pygmsh,Modeling and simulation,Python,3
pymultinest,Modeling and simulation,Python,3
pymysql,Modeling and simulation,Python,3
pynufft,Modeling and simulation,Python,3
pyscipopt,Modeling and simulation,Python,3
pytensor,Modeling and simulation,Python,3
pythran,Modeling and simulation,Python,3
rTensor,Modeling and simulation,R,3
SUNDIALS,Modeling and simulation,C++,3
sybil,Modeling and simulation,Python,3
SymEngine,Modeling and simulation,C++,3
torch-geometric,Modeling and simulation,Python,3
transforms3d,Modeling and simulation,Python,3
mediation,Integrative analysis,R,3
MuMIn,Integrative analysis,R,3
nipype,Integrative analysis,Python,3
pandera,Integrative analysis,Python,3
shap,Integrative analysis,Python,3
intel-openmp,Hardware,Python,3
pyobjc-core,Hardware,Python,3
pyobjc-framework-cocoa,Hardware,Python,3
AER,Data analytics,R,3
anndata,Data analytics,Python,3
babynames,Data analytics,R,3
bayesplot,Data analytics,R,3
brew,Data analytics,R,3
cellranger,Data analytics,R,3
clubSandwich,Data analytics,R,3
contextily,Data analytics,Python,3
coxme,Data analytics,R,3
dask[complete],Data analytics,Python,3
datashader,Data analytics,Python,3
DESeq2,Data analytics,R,3
discovr,Data analytics,R,3
distributional,Data analytics,R,3
dqrng,Data analytics,R,3
earth,Data analytics,R,3
energy,Data analytics,R,3
epiR,Data analytics,R,3
exactextractr,Data analytics,R,3
fastavro,Data analytics,Python,3
fitdistrplus,Data analytics,R,3
fixest,Data analytics,R,3
flax,Data analytics,Python,3
formattable,Data analytics,R,3
fuzzywuzzy,Data analytics,Python,3
gamlss,Data analytics,R,3
gbm,Data analytics,R,3
GenomeInfoDb,Data analytics,R,3
GenomicAlignments,Data analytics,R,3
geosphere,Data analytics,R,3
ggdendro,Data analytics,R,3
ggdist,Data analytics,R,3
ggside,Data analytics,R,3
ggspatial,Data analytics,R,3
ggtree,Data analytics,R,3
GLMMadaptive,Data analytics,R,3
GPArotation,Data analytics,R,3
gplots,Data analytics,R,3
hexbin,Data analytics,R,3
huggingface_hub,Data analytics,Python,3
imagecodecs,Data analytics,Python,3
imbalanced-learn,Data analytics,Python,3
imutils,Data analytics,Python,3
keplergl,Data analytics,Python,3
kneed,Data analytics,Python,3
langchain-core,Data analytics,Python,3
langchain-openai,Data analytics,Python,3
langchain-text-splitters,Data analytics,Python,3
leafem,Data analytics,R,3
leafmap,Data analytics,Python,3
lifelines,Data analytics,Python,3
lightgbm,Data analytics,Python,3
lightkurve,Data analytics,Python,3
lightning,Data analytics,Python,3
lightning-utilities,Data analytics,Python,3
limma,Data analytics,R,3
logistf,Data analytics,R,3
logitr,Data analytics,R,3
mapproj,Data analytics,R,3
mediapipe,Data analytics,Python,3
medpy,Data analytics,Python,3
metaplus,Data analytics,R,3
mizani,Data analytics,Python,3
mlogit,Data analytics,R,3
mmrm,Data analytics,R,3
mne-qt-browser,Data analytics,Python,3
moments,Data analytics,R,3
morecantile,Data analytics,Python,3
msm,Data analytics,R,3
mvnfast,Data analytics,R,3
napari,Data analytics,Python,3
nestedLogit,Data analytics,R,3
network,Data analytics,R,3
networkD3,Data analytics,R,3
nglview,Data analytics,Python,3
partykit,Data analytics,R,3
plm,Data analytics,R,3
pydeck,Data analytics,Python,3
pygraphviz,Data analytics,Python,3
pynndescent,Data analytics,Python,3
pyntcloud,Data analytics,Python,3
pyspark,Data analytics,Python,3
python-casacore,Data analytics,Python,3
python-igraph,Data analytics,Python,3
refet,Data analytics,Python,3
reproject,Data analytics,Python,3
rgl,Data analytics,R,3
rio-cogeo,Data analytics,Python,3
rio-tiler,Data analytics,Python,3
rsample,Data analytics,R,3
Rtsne,Data analytics,R,3
rworldmap,Data analytics,R,3
safetensors,Data analytics,Python,3
scikit-optimize,Data analytics,Python,3
sep,Data analytics,Python,3
seqinr,Data analytics,R,3
seriation,Data analytics,R,3
slicerator,Data analytics,Python,3
sna,Data analytics,R,3
SnowballC,Data analytics,R,3
specutils,Data analytics,Python,3
stopwords,Data analytics,R,3
tensorflow-estimator,Data analytics,Python,3
tidygraph,Data analytics,R,3
topicmodels,Data analytics,R,3
torch_geometric,Data analytics,Python,3
tsam,Data analytics,Python,3
uwot,Data analytics,R,3
wordcloud,Data analytics,Python,3
yardstick,Data analytics,R,3
zuko,Data analytics,Python,3
api,,C++,3
art,,Python,3
benchmarks,,C++,3
c,,C,3
chk,,R,3
components,,C++,3
dl,,C++,3
external,,C++,3
gcamdata,,R,3
gridGraphics,,R,3
integration,,C++,3
interface-meta,,Python,3
modules,,Python,3
palmerpengUIns,,R,3
parallelMap,,R,3
patrick,,R,3
periodictable,,Python,3
serp,,R,3
UnitTests,,C++,3
colourpicker,UI,R,2
dash-renderer,UI,Python,2
fastprogress,UI,Python,2
Flask-Cors,UI,Python,2
Flask-SocketIO,UI,Python,2
getPass,UI,R,2
imgUI,UI,C++,2
ipycanvas,UI,Python,2
jupyterlab_pygments,UI,Python,2
jupyter-server-ydoc,UI,Python,2
jupyter-ydoc,UI,Python,2
keyboard,UI,Python,2
maplibre,UI,Python,2
markdown-callouts,UI,Python,2
markdown-exec,UI,Python,2
plyer,UI,Python,2
pybv,UI,Python,2
PyGObject,UI,Python,2
pyperclip,UI,Python,2
pyppeteer,UI,Python,2
pyqt5-qt5,UI,Python,2
pyqtdarktheme,UI,Python,2
pyqtwebengine,UI,Python,2
pyreadline3,UI,Python,2
PySide6_Addons,UI,Python,2
PySide6_Essentials,UI,Python,2
python-telegram-bot,UI,Python,2
pyvirtualdisplay,UI,Python,2
qimage2ndarray,UI,Python,2
Qt,UI,C++,2
qtawesome,UI,Python,2
shinydashboardPlus,UI,R,2
shinyFiles,UI,R,2
streamlit-folium,UI,Python,2
trame-client,UI,Python,2
trame-server,UI,Python,2
wxWidgets,UI,C++,2
cyclonedx-python-lib,Software analytics,Python,2
deptry,Software analytics,Python,2
diff-cover,Software analytics,Python,2
dparse,Software analytics,Python,2
line_profiler,Software analytics,Python,2
pytest-arraydiff,Software analytics,Python,2
pytest-flakefinder,Software analytics,Python,2
pytype,Software analytics,Python,2
aiosmtpd,Software,Python,2
ament_cmake_gtest,Software,C++,2
argh,Software,Python,2
astor,Software,Python,2
astroscrappy,Software,Python,2
async-generator,Software,Python,2
audioread,Software,Python,2
backports-asyncio-runner,Software,Python,2
Bfd,Software,C++,2
binaryornot,Software,Python,2
bindings,Software,C++,2
boolean-py,Software,Python,2
boost_system,Software,C++,2
boost-filesystem,Software,C++,2
bs4,Software,Python,2
charset_normalizer,Software,Python,2
ci-info,Software,Python,2
class-registry,Software,Python,2
confection,Software,Python,2
covdefaults,Software,Python,2
cppimport,Software,Python,2
csscompressor,Software,Python,2
CURL,Software,C++,2
cymem,Software,Python,2
datetime,Software,Python,2
dbus-python,Software,Python,2
ddt,Software,Python,2
debugme,Software,R,2
docopt-ng,Software,Python,2
doFuture,Software,R,2
duecredit,Software,Python,2
dunamai,Software,Python,2
easydev,Software,Python,2
editorconfig,Software,Python,2
elementpath,Software,Python,2
ezdxf,Software,Python,2
fake-useragent,Software,Python,2
faust-cchardet,Software,Python,2
ffmpeg,Software,Python,2
filetype,Software,Python,2
flake8-import-order,Software,Python,2
gevent,Software,Python,2
gomp,Software,C,2
google-api-core,Software,Python,2
google-cloud-resource-manager,Software,Python,2
googletest-bUIld,Software,C++,2
grpc-google-iam-v1,Software,Python,2
hash,Software,R,2
HeapDict,Software,Python,2
hpack,Software,Python,2
htmlmin2,Software,Python,2
hunspell,Software,R,2
hyperframe,Software,Python,2
immutabledict,Software,Python,2
intervals,Software,R,2
ipython_genutils,Software,Python,2
JlCxx,Software,C++,2
jsbeautifier,Software,Python,2
jsmin,Software,Python,2
jsonargparse,Software,Python,2
langcodes,Software,Python,2
language-data,Software,Python,2
lark-parser,Software,Python,2
lgr,Software,R,2
LibDL,Software,C++,2
LibXml2,Software,C,2
license-expression,Software,Python,2
lockfile,Software,Python,2
logzero,Software,Python,2
marisa-trie,Software,Python,2
mkdocs-minify-plugin,Software,Python,2
mmh3,Software,Python,2
murmurhash,Software,Python,2
nbqa,Software,Python,2
numbagg,Software,Python,2
numpy-typing-compat,Software,Python,2
objsize,Software,Python,2
opentelemetry-api,Software,Python,2
opentelemetry-exporter-otlp,Software,Python,2
opentelemetry-sdk,Software,Python,2
opentelemetry-semantic-conventions,Software,Python,2
oyaml,Software,Python,2
packageurl-python,Software,Python,2
parmap,Software,Python,2
parsedate,Software,R,2
path,Software,Python,2
pathlib2,Software,Python,2
paws.common,Software,R,2
plum-dispatch,Software,Python,2
preshed,Software,Python,2
pycocotools,Software,Python,2
pyenchant,Software,Python,2
PyQt5-sip,Software,Python,2
pytest-cache,Software,Python,2
pytest-django,Software,Python,2
pytest-pep8,Software,Python,2
pytest-random-order,Software,Python,2
pytest-remotedata,Software,Python,2
pytest-subprocess,Software,Python,2
python-magic,Software,Python,2
pyupgrade,Software,Python,2
pyvistaqt,Software,Python,2
rapidjsonr,Software,R,2
RcppThread,Software,R,2
rJava,Software,R,2
rlist,Software,R,2
Rsolnp,Software,R,2
sacremoses,Software,Python,2
safety,Software,Python,2
scandir,Software,Python,2
scriv,Software,Python,2
setproctitle,Software,Python,2
Slicer,Software,C++,2
snakecase,Software,R,2
spacy-legacy,Software,Python,2
spacy-loggers,Software,Python,2
spdlog,Software,C++,2
sqlalchemy-utils,Software,Python,2
srsly,Software,Python,2
stdc++fs,Software,C++,2
stopit,Software,Python,2
super-collections,Software,Python,2
testfixtures,Software,Python,2
Testing,Software,C++,2
thinc,Software,Python,2
tokenize-rt,Software,Python,2
torchtestcase,Software,Python,2
treelib,Software,Python,2
types-setuptools,Software,Python,2
types-urllib3,Software,Python,2
urltools,Software,R,2
util,Software,C++,2
V8,Software,R,2
verspec,Software,Python,2
YamlCpp,Software,C++,2
yaspin,Software,Python,2
ypy-websocket,Software,Python,2
